FileName,IsDebuggerPresent,CheckRemoteDebuggerPresent,GetTickCount,OutputDebugStringA,FindWindowA,NtQueryInformationProcess,VirtualAlloc,WriteProcessMemory,ShellExecute,InternetOpen,Entropy_Max,Has_RWX,Imports_Count,Section_Count,Compile_Year,Label
c9f5530468fde1d7a198bc7dd5a43c390b234f10649dcdbdc25890c0563d4691.exe,0,0,0,0,0,0,0,0,0,0,6.386613920966664,0,16,3,2011,1
winver.exe,0,0,1,0,0,0,0,0,0,0,5.179453685466132,0,37,7,2001,0
e8adeee1736ee068f79284077ec905137051eaed11f0be53cc1977f30edb3102.exe,0,0,1,0,0,0,0,0,1,0,6.441902693740872,0,162,5,2016,1
userinit.exe,1,0,0,0,0,1,0,0,0,0,6.089732804937044,0,146,8,0,0
febbf2119882b88d952379874d73e2c02e3816d49ded935fff81d4d24726d87c.exe,0,0,0,0,0,0,0,0,0,0,6.375662129175614,0,21,3,2008,1
00561595f71768d7555b2a39fc0fd39819640b8b08af4302ba03bf8b3dffa8b2.exe,0,0,0,0,0,0,0,0,0,0,6.21291357421414,0,63,3,2018,1
updatecli.exe,1,0,0,0,0,0,0,0,0,0,5.897161857964481,0,104,7,1999,0
WindowsActionDialog.exe,1,0,1,0,0,0,0,0,0,0,5.741878353849468,0,122,8,0,0
waitfor.exe,0,0,1,0,0,0,0,0,0,0,5.623245549662022,0,97,7,0,0
a81d350afaf97cc038b3f20b46d4757150d7854df5e56780326f91bc7d4fd215.exe,1,0,1,0,0,0,1,0,1,1,6.652187512703091,0,171,5,2018,1
VSSVC.exe,1,0,1,0,0,1,1,0,0,0,6.059489475490012,0,252,8,0,0
b5d3a064f8de9f0e0098a66d8624067aeb276dcb573b82ed969f691274d467f9.exe,0,0,0,0,0,0,0,0,0,0,5.349445841511567,0,59,3,2018,1
XblGameSaveTask.exe,1,0,0,0,0,0,0,0,0,0,5.944520534822843,0,98,7,2029,0
winresume.exe,0,0,0,0,0,0,0,0,0,0,6.539294070125968,0,0,7,0,0
vulkaninfo.exe,1,0,0,0,0,0,0,0,0,0,5.829038578253754,0,111,9,2025,0
af1cf572150e95fd75306a13eb3d2306e1e1fb4ef6c238f53f30f2525389e07b.exe,0,0,0,0,0,0,0,0,0,0,6.633469517758652,0,1,3,2020,1
wevtutil.exe,1,0,0,0,0,0,0,0,0,0,6.26419529232894,0,195,8,0,0
unregmp2.exe,1,0,1,0,0,0,0,0,1,0,5.80740607964965,0,163,7,0,0
d00ee0e6eab686424f8d383e151d22005f19adbda5b380a75669629e32fe12a6.exe,0,0,0,0,0,0,0,0,1,0,7.999931465786238,1,8,3,2018,1
ed6ea055c622adab41b5eba73b4d556c4c843b9e77e21933297ca0ce972ce5c4.exe,0,0,0,0,0,0,0,0,0,0,7.999562130766247,1,1,5,0,1
vulkaninfo-1-999-0-0-0.exe,1,0,0,0,0,0,0,0,0,0,5.829038578253754,0,111,9,2025,0
a1c483b0ee740291b91b11e18dd05f0a460127acfc19d47b446d11cd0e26d717.exe,0,0,1,1,0,0,0,0,0,0,6.655349297369005,0,59,5,2011,1
b0e40f83154bce1343f616094c5c67fb9991f06aa7a0fb1915f952e40c3d1bba.exe,0,0,0,0,0,0,0,0,0,0,5.649740870539298,0,15,3,2012,1
UIMgrBroker.exe,1,0,0,0,0,0,0,0,0,0,5.884086497493462,0,128,7,0,0
UtcDecoderHost.exe,1,0,1,0,0,0,0,0,0,0,6.0159599710770735,0,157,7,2012,0
VoiceAccess.exe,1,0,0,0,0,0,0,0,1,0,6.115312044953205,0,242,7,0,0
ucsvc.exe,1,0,0,0,0,0,0,0,0,0,6.01102509016933,0,95,7,0,0
c059c754159cadf09d642fd2dab8caa7f4d57fd9c2e419156d032e7473c95dd9.exe,0,0,0,0,0,0,0,0,0,0,7.796715155950197,0,1,3,0,1
c2d499169a652c5c86ef28b7dca25f23e986bdd93b23fe02115923f698d61b58.exe,0,0,0,0,0,0,1,0,0,0,7.83726426913447,0,169,3,2020,1
UserAccountBroker.exe,1,0,1,0,0,0,0,0,0,0,5.6335127683283295,0,107,8,0,0
wsqmcons.exe,1,0,1,0,0,0,0,0,0,0,6.107083994703017,0,104,7,2026,0
e869c8e7f61d4f49d357d02179ed557e466b1d66ce6993faddbc23d5992ff59b.exe,1,0,1,0,0,0,1,0,0,0,6.691612437265253,0,149,5,2013,1
xwizard.exe,0,0,1,1,0,0,0,0,0,0,5.825214293031157,0,106,7,0,0
wowreg32.exe,0,0,1,0,0,0,0,0,0,0,4.761699476242506,0,64,8,2003,0
881941ea24e92f4bd4d69d79e27ce1d2b10094172cb3cc93b223daf70ef2d867.exe,1,0,1,0,0,0,1,0,0,0,7.612300863389848,0,110,5,2014,1
vssadmin.exe,0,0,1,0,0,0,0,0,0,0,5.950788820320795,0,141,7,0,0
ca54dac8de04ef9b1f74a39470ae1f615ecbb9cd5eaa093c3d70d7d40576eb9a.exe,0,0,0,0,0,0,0,0,0,0,7.5795759833045055,0,1,3,0,1
e45490584a68e394f6714a78c96988adc241fd3acd783337bd66f26117535454.exe,0,0,0,0,0,0,0,0,0,0,6.052105025945511,0,13,3,2016,1
WSReset.exe,1,0,1,0,0,0,0,0,1,0,6.521909240640519,0,107,7,0,0
f2472279fe82503509611dc72b29033a4ad6dfa511fbbffd80161d0a02a052a4.exe,0,0,1,0,0,0,0,0,0,1,6.181386961591009,0,46,4,2018,1
e8d41df74484529065bad33443225cf40b05423b7cd4b0af478043c13394750e.exe,0,0,0,0,0,0,0,0,0,0,5.598471822780861,0,17,3,2010,1
UserDataSource.exe,1,0,0,0,0,0,0,0,0,0,5.807458772240302,0,100,7,2015,0
UserAccountControlSettings.exe,1,0,1,0,0,0,0,0,0,0,6.4627992958920775,0,100,8,2007,0
e849a38df88dfb8d4f44b1ce6c303a9262a98ae68c610baf1b1f9f2c89e438c4.exe,0,0,0,0,0,0,0,0,0,0,5.622506635658863,0,15,3,2015,1
e4b839be39665555c0637a45d7835cf5aed0633b9d3b3c72b0c3710555cf2eb0.exe,0,0,1,0,1,0,1,0,0,0,7.338334657516437,0,386,8,1992,1
UIEOrchestrator.exe,1,0,0,0,0,0,0,0,0,0,6.5363014622382,0,208,6,0,0
wpr.exe,1,0,0,0,0,0,0,0,0,0,6.225519930598347,0,248,7,0,0
b721bab0bd5320bc77d0ffc8a747f342cfe8ab1654a69816b3efd0fe021ffe99.exe,0,0,1,0,1,0,1,0,0,0,7.380931005507405,0,399,8,1992,1
wuauclt.exe,1,0,0,0,0,1,0,0,0,0,6.3310975971809205,0,132,7,2003,0
c905f2dec79ccab115ad32578384008696ebab02276f49f12465dcd026c1a615.exe,0,0,1,1,0,0,1,0,0,0,6.386290121061416,0,141,5,2008,1
fe467798339147792366428612398f3cf4a6673900a87a8e3e924656ecbba699.exe,0,0,0,0,0,0,0,0,0,0,6.328624930838577,0,58,3,2018,1
baf5a4d8895b91205e8e83f4899546031020b8be5ef1adb543a5289a8baa6568.exe,1,0,1,0,0,0,0,0,0,0,6.395538587663135,0,75,4,2020,1
tzutil.exe,0,0,1,0,0,0,0,0,0,0,6.098461777226129,0,93,7,0,0
fe5d565b1f7b0a5b25edf491dafb826ab4270d99e574ba716baa99fd224aa504.exe,1,0,1,0,0,0,1,0,0,0,6.781172531849652,0,67,4,2017,1
d0c571182eb67023db9b2f8c440dfc76488b23ea51819de40bbeca16fbb9322e.exe,0,0,0,0,0,0,0,0,0,0,6.207782809157999,0,61,3,2018,1
WUDFCompanionHost.exe,1,0,0,0,0,0,0,0,0,0,6.061151867113687,0,194,9,0,0
TRACERT.EXE,0,0,1,0,0,0,0,0,0,0,5.966312695657799,0,65,7,2028,0
ddf157853be3dbebba9eea0db9815017a0c7d8dded210a5c291d7b0ccd2fd2be.exe,0,0,0,0,0,0,0,0,0,0,7.997661909477635,0,1,3,2015,1
WPDShextAutoplay.exe,1,0,0,0,0,0,0,0,1,0,5.791383439396718,0,107,7,0,0
tzsync.exe,0,0,0,0,0,0,0,0,0,0,5.977745351590465,0,0,2,0,0
